Samples	PC1	PC2	PC3	PC4
W4199	-0.136625951034656	0.0232069888052084	-0.324163526251877	-0.16189718126125
W4200	0.198888736467645	0.045033728165575	0.0242673631496346	-0.0540441004991013
X4203	0.233818966205123	-0.00691037174979251	0.0810900004051378	-0.0660621827858602
X4204	-0.130850637446505	-0.0644157305462737	-0.0845496619119173	-0.033224114879154
X4205	0.00546432767222788	0.152097150509588	-0.0626227904034993	-0.106472168029618
X4206	0.0173981618786353	-0.0449726229673614	0.102114738052105	-0.0210611509947424
X4208	-0.0994294008867771	0.0382712540470005	0.108786603222543	0.0337757004390418
X4209	-0.136472000866993	0.15535702033838	-0.0569484862125796	-0.0956720385833306
X4210	-0.0981075797259734	-0.032337718535033	0.0384555374275086	-0.00213607675245612
Y4211	-0.160582407524721	-0.13239025488082	0.0118555151895483	0.0254305696633803
Y4212	-0.227950784218041	0.035908841348182	0.091038097909962	0.0291621332972803
Y4213	-0.200740819352937	0.111782428487495	0.0541514065823076	0.00334728085800704
Y4214	-0.134416636302727	0.0535627625289452	-0.00418254404980317	0.0156538802370557
Y4215	-7.84235941694579e-05	-0.0735399680312339	0.100110235615004	-0.00754011209819323
Y4216	-0.0963147315547324	-0.0481893223543141	0.0522207895734507	0.0157951376555427
